Event Title,Date,Location,Image URL,Event URL
The Jungle PKs Open Mic at PECHS Every Wednesday,4th Sep,Karachi,https://v2.ticketwala.pk/uploads/events/banner/nani_ghars_comedy_open_mic_every_wednesday_22222.png,https://ticketwala.pk/event/the-jungle-pks-open-mic-at-pechs-every-wednesday
Mix Plate Sunday Morning Tour- Every Sunday 2024,10th Nov,Karachi,https://v2.ticketwala.pk/uploads/events/banner/mix-plate-sunday-morning-tour-oct-2134.jpeg,https://ticketwala.pk/event/mix-plate-sunday-morning-tour-oct-2134
Comedy Night - Late Night Fridays by The Jungle PK,15th Nov,Karachi,https://v2.ticketwala.pk/uploads/events/banner/comedy-night-late-night-fridays-by-the-jungle-pk-1731498455-2244.png,https://ticketwala.pk/event/comedy-night-late-night-fridays-by-the-jungle-pk-2244
Winter Fete Christmas Market,8th Dec - 8th Dec,Islamabad,https://v2.ticketwala.pk/uploads/events/banner/winter-fete-christmas-market-1732554663-2291.jpg,https://ticketwala.pk/event/winter-fete-christmas-market-2291
GLOBAL AI SUMMIT,8th Dec,Karachi,https://v2.ticketwala.pk/uploads/events/banner/global-ai-summit-1732260085-2269.jpeg,https://ticketwala.pk/event/global-ai-summit-2269
SEASON FINALE SPECIAL!,8th Dec,Karachi,https://v2.ticketwala.pk/uploads/events/banner/season-finale-special-1731475644-2243.jpeg,https://ticketwala.pk/event/season-finale-special-2243
Stand Up Pakistan Islamabad,8th Dec,Islamabad,https://v2.ticketwala.pk/uploads/events/banner/stand-up-pakistan-islamabad-1732877164-2311.png,https://ticketwala.pk/event/stand-up-pakistan-islamabad-2311
Sunday Open Mic 8th Dec,8th Dec,Karachi,https://v2.ticketwala.pk/uploads/events/banner/sunday-open-mic-8th-dec-1733210930-2322.jpg,https://ticketwala.pk/event/sunday-open-mic-8th-dec-2322
ACELP Childrens Week,12th Dec - 16th Dec,Karachi,https://v2.ticketwala.pk/uploads/events/banner/acelp-childrens-week-1732522960-2283.jpeg,https://ticketwala.pk/event/acelp-childrens-week-2283
The Winter Gala Karachi,13th Dec - 15th Dec,Karachi,https://v2.ticketwala.pk/uploads/events/banner/the-winter-gala-karachi-1732166206-2268.jpg,https://ticketwala.pk/event/the-winter-gala-karachi-2268
